mz=276.14421, mz=371.32684, mz=383.11606, mz=413.30119, mz=144.10192
mz=220.08167, mz=486.34029, mz=202.04763, mz=461.35872, mz=257.04219
mz=365.1149, mz=156.0768, mz=346.25071, mz=386.22229, mz=224.11298
mz=212.09184, mz=467.28839, mz=348.22999, mz=97.00499, mz=143.01052
mz=399.35824, mz=315.30058, mz=368.21973, mz=221.05754, mz=386.22229
mz=90.05492, mz=156.0768, mz=368.11219, mz=197.05754, mz=331.2955
mz=291.0993, mz=318.21929, mz=189.05245, mz=217.011, mz=196.07353
mz=229.15467, mz=411.35832, mz=147.11281, mz=424.28252, mz=322.05479
mz=337.07411, mz=308.23499, mz=337.07411, mz=397.0743, mz=200.05293
mz=213.08711, mz=332.19864, mz=399.32185, mz=220.11806, mz=331.2955
mz=201.01607, mz=128.99485, mz=218.13877, mz=212.04319, mz=112.08691
mz=146.98179, mz=169.09721, mz=139.0156, mz=280.20374, mz=345.31116
mz=156.0768, mz=399.35824, mz=220.03464, mz=243.07819, mz=212.09184
mz=448.31479, mz=110.07126, mz=371.32684, mz=325.11296, mz=413.34883
mz=195.04189, mz=292.13892, mz=384.11499, mz=205.08199, mz=397.0743
mz=224.06839, mz=349.07382, mz=150.05498, mz=219.04187, mz=218.11364
mz=382.19921, mz=212.06844, mz=219.13406, mz=131.0105, mz=380.25616
mz=383.11606, mz=442.36415, mz=132.1019, mz=338.10164, mz=136.04268
mz=146.1652, mz=134.02703, mz=170.09246, mz=189.05245, mz=209.09221
mz=292.10267, mz=196.07353, mz=443.34824, mz=470.28786, mz=195.00298
