mz=397.34259, mz=178.97177, mz=350.20923, mz=189.05245, mz=196.1099
mz=84.04436, mz=203.15034, mz=345.31116, mz=314.18802, mz=308.09104
mz=261.05241, mz=369.31118, mz=189.05245, mz=368.11219, mz=219.07828
mz=448.31479, mz=151.08661, mz=217.1548, mz=314.18802, mz=138.05256
mz=184.07339, mz=207.07829, mz=218.15004, mz=343.33193, mz=449.29893
mz=332.0952, mz=320.1986, mz=445.32748, mz=370.19096, mz=201.01607
mz=320.24286, mz=439.15211, mz=216.13437, mz=290.15979, mz=280.20374
mz=205.11841, mz=290.15979, mz=447.37944, mz=349.07382, mz=211.07321
mz=337.07411, mz=424.28252, mz=348.22999, mz=204.09798, mz=332.19864
mz=148.0427, mz=143.11791, mz=348.07044, mz=149.08069, mz=128.99485
mz=152.03183, mz=217.06836, mz=461.35872, mz=322.21427, mz=221.07696
mz=167.04694, mz=321.23267, mz=101.07092, mz=253.12009, mz=200.05293
mz=402.33274, mz=372.20664, mz=216.13437, mz=219.04187, mz=169.09721
mz=166.08631, mz=211.06903, mz=413.34883, mz=141.01584, mz=322.25063
mz=246.16999, mz=402.02124, mz=447.34307, mz=224.06839, mz=348.22999
mz=171.00548, mz=440.27756, mz=218.11364, mz=138.01617, mz=199.10958
mz=448.31479, mz=370.19096, mz=379.1307, mz=383.11606, mz=352.22487
mz=307.04392, mz=219.07828, mz=125.07093, mz=86.09639, mz=134.02703
mz=292.2037, mz=345.31116, mz=197.09392, mz=212.09184, mz=173.05751
mz=146.98179, mz=141.01584, mz=214.04769, mz=286.20127, mz=441.13133
